Date & Time,use [kW],gen [kW],LivingRoomOutlets [kW],Barn [kW],Well [kW],Microwave [kW],WasherDrier [kW],Solar [kW]
2014-01-01 00:00:00,0.0,0.004110556,0.102349444,0.087441667,0.000116111,0.003592778,0.001528333,0.004110556
2014-01-01 00:30:00,0.0,0.004040556,0.038129444,0.141681667,0.080395556,0.040435,0.002411111,0.004040556
2014-01-01 01:00:00,0.0,0.004422222,0.007686667,0.035265,4.444e-06,0.003400556,0.000932778,0.004422222
2014-01-01 01:30:00,0.0,0.004581111,0.004327778,0.035408889,1.6111e-05,0.003286667,0.000208889,0.004581111
2014-01-01 02:00:00,0.0,0.004585556,0.001752222,0.035452778,1.7222e-05,0.00328,0.000200556,0.004585556
2014-01-01 02:30:00,0.0,0.004606111,0.001511667,0.035433333,7.222e-06,0.003216111,0.000108889,0.004606111
2014-01-01 03:00:00,0.0,0.004577778,0.001462222,0.035565,2.6111e-05,0.003283333,0.000195556,0.004577778
2014-01-01 03:30:00,0.0,0.004577778,0.001471111,0.035594444,2.4444e-05,0.003291667,0.000196667,0.004577778
2014-01-01 04:00:00,0.0,0.004570556,0.001435,0.035551111,1.9444e-05,0.003290556,0.000201667,0.004570556
2014-01-01 04:30:00,0.0,0.004586667,0.001503333,0.03549,4.444e-06,0.003223333,0.000113889,0.004586667
2014-01-01 05:00:00,0.0,0.004548333,0.001448333,0.035472778,1.5556e-05,0.003271111,0.000215556,0.004548333
2014-01-01 05:30:00,0.0,0.004541667,0.001475556,0.035144444,2.6111e-05,0.003227778,0.000143889,0.004541667
2014-01-01 06:00:00,0.0,0.00454,0.001546111,0.035101667,2.5e-05,0.003222778,0.000158889,0.00454
2014-01-01 06:30:00,0.0,0.00457,0.001431667,0.035127778,6.667e-06,0.003170556,8.6667e-05,0.00457
2014-01-01 07:00:00,0.0,0.004325556,0.001456111,0.035266667,1.7222e-05,0.003259444,0.000201667,0.004325556
2014-01-01 07:30:00,0.0,0.002409444,0.001803889,0.03484,2.1667e-05,0.003251667,0.000232778,0.002409444
2014-01-01 08:00:00,0.0,0.016535556,0.001541111,0.034827222,3.4444e-05,0.00335,0.000498889,0.016535556
2014-01-01 08:30:00,0.0,0.066117778,0.001615,0.034052222,0.070453889,0.003273333,0.000473889,0.066117778
2014-01-01 09:00:00,0.0,0.119313889,0.001466111,0.03392,4.8333e-05,0.003256667,0.000494444,0.119313889
2014-01-01 09:30:00,0.0,0.220555,0.001588889,0.034367222,7.5556e-05,0.003350556,0.000575556,0.220555
2014-01-01 10:00:00,0.0,0.263129444,0.001496111,0.034707778,8.0556e-05,0.003393889,0.000523889,0.263129444
2014-01-01 10:30:00,0.0,0.216849444,0.001445,0.034255556,8.4444e-05,0.003283333,0.000162778,0.216849444
2014-01-01 11:00:00,0.0,0.237396111,0.001554444,0.034230556,5.8333e-05,0.003225,0.00011,0.237396111
2014-01-01 11:30:00,0.0,0.500788889,0.001449444,0.033931667,0.026986667,0.003252222,0.000213889,0.500788889
2014-01-01 12:00:00,0.0,0.502591111,0.001487778,0.034247222,0.132481111,0.003300556,8.5e-05,0.502591111
2014-01-01 12:30:00,0.0,0.425921667,0.001553889,0.034292222,0.181365,0.148136111,2.4444e-05,0.425921667
2014-01-01 13:00:00,0.0,0.237463333,0.001381111,0.033766111,0.082822778,0.268480556,8.2778e-05,0.237463333
2014-01-01 13:30:00,0.0,0.240838889,0.001632222,0.034465,7.1111e-05,0.003291111,0.000134444,0.240838889
2014-01-01 14:00:00,0.0,0.133113889,0.008025,0.034088333,5.3333e-05,0.003265,3.9444e-05,0.133113889
2014-01-01 14:30:00,0.0,0.084076667,0.009586111,0.034071667,0.080449444,0.003213333,1.4444e-05,0.084076667
2014-01-01 15:00:00,0.0,0.065188889,0.009565556,0.041533333,0.07969,0.003241111,0.000352778,0.065188889
2014-01-01 15:30:00,0.0,0.044576667,0.009442778,0.286296111,0.100081667,0.003458889,0.001260556,0.044576667
2014-01-01 16:00:00,0.0,0.000621667,0.008917222,0.317997222,0.045897222,0.003589444,0.008242222,0.000621667
2014-01-01 16:30:00,0.0,0.004517778,0.006817222,0.456512222,0.146858333,0.003501667,0.013314444,0.004517778
2014-01-01 17:00:00,0.0,0.004211111,0.066102222,0.460092778,0.000183333,0.003619444,0.015916111,0.004211111
2014-01-01 17:30:00,0.0,0.003935,0.314822778,0.179703333,0.092015556,0.003589444,0.055302222,0.003935
2014-01-01 18:00:00,0.0,0.00391,0.307598889,0.033463333,0.088916667,0.003631667,0.056947778,0.00391
2014-01-01 18:30:00,0.0,0.003925,0.306120556,0.033277222,0.057803333,0.003662778,0.052155556,0.003925
2014-01-01 19:00:00,0.0,0.003527778,0.012409444,0.032972222,0.01958,0.262392778,0.056585,0.003527778
2014-01-01 19:30:00,0.0,0.004016667,0.001163889,0.033454444,0.069194444,0.029393889,0.017486111,0.004016667
2014-01-01 20:00:00,0.0,0.004491667,0.001457778,0.033955,0.090218333,0.003222222,0.036875,0.004491667
2014-01-01 20:30:00,0.0,0.004524444,0.001408333,0.033674444,0.093984444,0.003245,0.011855556,0.004524444
2014-01-01 21:00:00,0.0,0.004515556,0.001376111,0.033573333,6.8889e-05,0.003254444,0.010561667,0.004515556
2014-01-01 21:30:00,0.0,0.004396667,0.003391667,0.078918889,7.7778e-05,0.003363333,0.020236111,0.004396667
2014-01-01 22:00:00,0.0,0.004152222,0.003733889,0.033745556,0.08588,0.003528889,0.059161111,0.004152222
2014-01-01 22:30:00,0.0,0.004469444,0.001489444,0.033738333,3.333e-06,0.003361667,0.027458889,0.004469444
